shots,exp,src_lang,tgt_lang,num_probs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,25,50,75,100
0,exp,py,jl,159,0.037,0.048,0.05,0.08301886792452831,0.017610062893081764,0.8078616352201257,0.054088050314465404,0.0,0.0,0.12375000000000003,0.025000000000000022,8.540177112501205e-18,1.6653345369377347e-17
0,exp-lbl,py,jl,159,0.045,0.054,0.058,0.050314465408805034,0.03962264150943396,0.8141509433962263,0.05125786163522014,0.0,0.0,0.13999999999999999,0.03750000000000001,5.693451408334136e-18,8.326672684688674e-18
0,exp,py,go,154,0.098,0.138,0.158,0.0,0.1905844155844156,0.5405844155844156,0.17045454545454544,0.0,0.0,0.15,0.15394736842105264,0.05135135135135138,0.035897435897435916
0,exp-lbl-d,py,go,154,0.121,0.176,0.19,0.0,0.1418831168831169,0.5805194805194805,0.15681818181818186,0.0,0.0,0.14375,0.23421052631578948,0.07567567567567568,0.029487179487179518
0,exp-lbl,py,go,154,0.107,0.146,0.158,0.0,0.1386363636363637,0.5928571428571429,0.16136363636363632,0.0,0.0,0.18,0.17105263157894737,0.03108108108108109,0.04230769230769233
0,exp-lbl,py,java,158,0.061,0.103,0.12,0.05854430379746834,0.23417721518987342,0.345886075949367,0.2651898734177215,0.035126582278481006,0.0,0.15750000000000003,0.04750000000000002,0.03157894736842106,0.006250000000000031
0,exp-lbl-d,py,java,134,0.004,0.009,0.011,0.0037313432835820886,0.00708955223880597,0.9776119402985075,0.00708955223880597,0.0003731343283582093,0.0,0.01470588235294118,0.0015151515151515165,0.0,0.0
0,exp,py,java,158,0.061,0.114,0.144,0.09272151898734181,0.1965189873417722,0.20886075949367094,0.39430379746835437,0.04683544303797468,0.0,0.14875,0.06125000000000001,0.028947368421052656,0.0024999999999999996
0,exp-lbl,py,r,161,0.006,0.006,0.006,0.007453416149068324,0.007142857142857145,0.9425465838509317,0.029192546583850926,0.007453416149068324,0.0,2.7078610356711136e-18,0.025000000000000012,5.551115123125783e-18,5.551115123125783e-18
0,exp-lbl-d,py,r,161,0.006,0.006,0.006,0.011801242236024842,0.008695652173913044,0.9478260869565215,0.025465838509316767,0.0,0.0,0.0,0.025000000000000012,5.551115123125783e-18,1.9428902930940238e-17
0,exp,py,r,161,0.004,0.006,0.006,0.011180124223602485,0.002795031055900622,0.92888198757764,0.04006211180124223,0.013043478260869566,0.0,5.415722071342227e-18,0.01625000000000002,1.3877787807814457e-17,1.9428902930940238e-17
0,exp-lbl,py,pl,161,0.036,0.095,0.132,0.0,0.032608695652173905,0.632298136645963,0.29906832298136654,0.0,0.0,0.08292682926829271,0.012500000000000025,0.021250000000000043,0.02625000000000003
0,exp,py,pl,161,0.042,0.118,0.165,0.0,0.039751552795031043,0.6096273291925465,0.30869565217391304,0.0,0.0,0.09390243902439027,0.011250000000000034,0.021250000000000012,0.04000000000000002
0,exp-lbl-d,py,pl,153,0.038,0.099,0.132,0.0,0.031372549019607836,0.596732026143791,0.3333333333333331,0.00032679738562091534,0.0,0.07948717948717955,0.015384615384615429,0.022972972972973002,0.03421052631578951
0,exp-lbl-d,py,rkt,161,0.003,0.006,0.006,0.0,0.05714285714285717,0.9397515527950308,0.0,0.0,0.0,0.012195121951219526,1.9428902930940238e-17,2.7755575615628915e-18,8.326672684688674e-18
0,exp-lbl,py,rkt,161,0.001,0.004,0.006,0.0,0.10621118012422363,0.8903726708074537,0.0009316770186335405,0.001242236024844721,0.0,0.004878048780487836,2.4980018054066023e-17,1.9428902930940238e-17,1.1102230246251566e-17
0,exp,py,rkt,161,0.001,0.003,0.006,0.0,0.1021739130434783,0.8950310559006215,0.002173913043478262,0.0,0.0,0.0024390243902439237,1.9428902930940238e-17,1.9428902930940238e-17,2.7755575615628914e-17
0,exp,py,php,161,0.165,0.219,0.238,0.0,0.09347826086956523,0.2841614906832299,0.4577639751552796,0.0,0.0,0.2585365853658536,0.15499999999999997,0.18875,0.05375000000000002
0,exp-lbl,py,php,161,0.161,0.194,0.207,0.0,0.11086956521739132,0.3388198757763975,0.3894409937888198,0.0,0.0,0.2634146341463415,0.19999999999999998,0.10750000000000001,0.06999999999999999
0,exp-lbl-d,py,php,161,0.165,0.218,0.238,0.0,0.10590062111801245,0.3055900621118013,0.42360248447204973,0.0,0.0,0.2634146341463414,0.16125,0.16625000000000006,0.06625000000000002
0,exp,py,lua,161,0.048,0.072,0.082,0.003105590062111802,0.11801242236024849,0.5363354037267082,0.2947204968944097,0.0,0.0,0.15000000000000002,0.023750000000000018,0.0012500000000000345,0.013750000000000021
0,exp-lbl,py,lua,161,0.049,0.085,0.101,0.009937888198757766,0.0990683229813665,0.6338509316770187,0.2083850931677019,0.0,0.0,0.14756097560975612,0.017500000000000022,0.003750000000000009,0.023750000000000018
